"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00131230","Support Team","","Iryna Zavalyshyna","Watkins Manufacturing Corporation (Plumbing) (Masco)","Adjustment of Facebook Share It graphic","5.4.1","Feature Request/ Disable (No-Design)","","4/12/2012","","Closed","1.00","1.000","1.500"
"00131070","Strategic  Integration","Other","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Backlog","","","","4/27/2012","C4","In Progress","","0.750","8.000"
"00130937","Strategic  Integration","UI Migration","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Wickes: UI migration 4.7 -> 5.3","5.4.0","","","4/6/2012","C4","Closed","2.00","0.000","2.000"
"00130857","Support Team","","Iryna Zavalyshyna","Bazaarvoice","INTERNAL J&J Brands Have Granted Access to GA for SCI Implementation","5.4.0","SCI","","4/6/2012","C4","Closed","7.00","0.000","9.500"
"00130504","Strategic  Integration","Other","Iryna Zavalyshyna","Bazaarvoice","INTERNAL UI migration issues investigation","","","","4/4/2012","C4","Closed","0.00","1.500","3.750"
"00129931","Support Team","","Iryna Zavalyshyna","Bazaarvoice","INTERNAL MSC Direct: SCI request","5.5.0","SCI","","4/24/2012","C4","Closed","1.50","2.000","1.750"
"00129850","Strategic  Integration","UI Migration","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Triabeauty: UI migration 4.7 -> 5.1","5.4.0","Feature Request/ Disable (No-Design)","","4/6/2012","C4","Closed","3.00","0.000","7.250"
"00129832","Support Team","","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Wickes: SCI request","5.3.1","SCI","","3/30/2012","C4","Closed","1.50","0.000","2.750"
"00129834","Strategic  Integration","UI Migration","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Bilka: UI migration 4.9 -> 5.1","5.3.1","Feature Request/ Disable (No-Design)","","3/30/2012","C4","Closed","2.00","0.000","2.000"
"00129436","Support Team","","Iryna Zavalyshyna","Orion Telescopes & Binoculars","Orion - Submission Form Changes","5.4.1","Feature Request/ Disable (No-Design)","","4/24/2012","","In Progress","7.00","3.750","7.500"
